	OM1	OM2	OM3	OM4	OM5	OM6	YM1	YM2	YM4	YM5	YM6	YM7
ENSMUSG00000106543	0.00	0.00	0.00	0.71	0.52	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSMUSG00000105942	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSMUSG00000108507	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSMUSG00000104287	0.00	0.00	0.00	0.00	0.22	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSMUSG00000025036	0.15	0.64	2.36	0.46	0.18	0.00	1.97	1.63	0.70	0.19	0.00	0.07
ENSMUSG00000023345	3.72	41.41	17.19	49.12	32.07	0.00	126.10	43.45	44.00	60.19	43.00	38.23
ENSMUSG00000084170	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	2.69	0.00	0.00
ENSMUSG00000105487	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSMUSG00000020594	11.07	6.00	10.33	10.42	12.47	10.08	17.47	57.39	62.26	72.24	129.37	41.41
ENSMUSG00000102805	0.10	0.00	0.00	1.17	0.67	0.00	0.54	0.17	0.47	0.20	0.61	0.44
ENSMUSG00000096209	0.00	0.00	0.00	0.00	0.00	0.00	1.46	1.78	0.49	0.00	0.00	1.76
ENSMUSG00000092602	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSMUSG00000023284	5.90	3.77	0.00	0.55	0.23	8.09	1.50	11.18	5.53	0.57	2.76	6.03
ENSMUSG00000029155	0.00	1.01	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSMUSG00000097283	0.00	0.25	0.57	0.27	0.00	0.10	0.00	0.00	0.00	0.00	0.17	0.00
ENSMUSG00000089763	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSMUSG00000049015	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSMUSG00000060068	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSMUSG00000085150	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSMUSG00000090111	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSMUSG00000004508	2.37	1.62	1.11	1.16	5.17	4.32	10.20	9.49	7.87	1.84	8.14	1.79
ENSMUSG00000094087	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSMUSG00000079478	20.50	64.35	125.12	9.33	37.19	62.78	0.00	1.43	1.51	0.00	0.00	1.97
ENSMUSG00000087397	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSMUSG00000028778	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSMUSG00000032420	19.85	0.07	4.81	0.07	2.27	7.25	0.00	0.00	0.00	0.00	0.00	0.00
ENSMUSG00000026786	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.08
ENSMUSG00000005370	13.49	8.43	4.35	18.04	22.07	0.77	0.85	46.29	44.46	62.69	0.07	26.60
ENSMUSG00000024518	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSMUSG00000106337	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSMUSG00000097365	0.00	0.00	0.14	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSMUSG00000028782	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.52	0.00	0.94	0.00	0.35
ENSMUSG00000006276	2.49	1.20	2.52	1.76	3.18	1.37	0.35	5.61	5.58	2.91	2.42	1.34
ENSMUSG00000089744	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSMUSG00000052949	0.00	0.00	0.09	0.00	0.00	0.00	0.00	0.00	0.00	0.62	0.00	0.00
ENSMUSG00000073233	0.00	0.00	0.00	0.13	0.00	0.00	0.00	0.16	0.00	0.00	0.00	0.00
ENSMUSG00000085307	23.40	9.65	0.73	7.87	21.42	3.55	4.00	3.64	6.53	7.01	2.11	3.63
ENSMUSG00000091614	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSMUSG00000020081	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSMUSG00000096574	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSMUSG00000087220	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSMUSG00000082222	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSMUSG00000031181	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSMUSG00000045267	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSMUSG00000083338	0.25	0.77	0.00	0.43	0.47	0.00	0.71	0.27	1.20	0.49	0.49	0.62
ENSMUSG00000054342	0.00	1.00	0.00	2.84	0.21	0.00	0.95	0.00	0.00	0.17	0.41	4.31
ENSMUSG00000086629	99.63	44.52	11.45	36.23	84.43	20.49	49.97	24.01	9.53	41.45	10.59	32.80
ENSMUSG00000047253	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSMUSG00000095690	0.00	2.07	0.00	0.00	0.00	0.00	2.73	0.00	0.00	0.31	0.00	0.00
ENSMUSG00000045515	0.00	0.00	0.00	0.02	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSMUSG00000039110	0.00	0.36	1.01	0.94	0.79	2.10	0.00	0.00	0.00	0.00	0.00	0.00
ENSMUSG00000098785	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSMUSG00000022193	75.25	231.10	562.97	70.93	239.92	335.22	2.63	4.49	0.00	10.96	0.00	10.20
ENSMUSG00000084855	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSMUSG00000094803	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSMUSG00000022360	6.38	2.82	4.84	4.82	4.08	1.05	4.17	3.65	6.39	5.15	3.56	4.65
ENSMUSG00000083181	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSMUSG00000106581	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSMUSG00000066170	0.00	0.00	0.09	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSMUSG00000001156	10.80	14.61	2.20	21.01	13.84	0.00	26.52	47.84	37.55	34.91	15.50	29.19
ENSMUSG00000059674	0.00	0.00	0.00	0.00	0.00	0.00	1.70	0.13	0.00	0.00	2.15	0.00
ENSMUSG00000029536	0.00	7.38	17.77	11.00	10.94	0.00	12.63	6.34	4.64	3.45	0.00	5.93
ENSMUSG00000038544	65.16	73.04	26.27	108.80	81.74	22.04	108.70	94.76	90.88	110.13	164.10	93.00
ENSMUSG00000042787	0.88	0.90	3.87	0.00	1.45	0.00	0.00	0.00	0.76	0.12	0.00	0.35
ENSMUSG00000020454	16.82	20.05	10.65	63.65	21.73	1.66	96.28	119.92	262.88	142.43	141.13	89.96
ENSMUSG00000107041	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSMUSG00000087034	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.02
ENSMUSG00000014601	13.86	35.62	23.67	52.22	33.77	15.16	0.00	57.05	59.20	66.00	0.00	44.56
ENSMUSG00000085875	0.00	0.00	0.00	0.00	1.27	0.00	0.00	0.00	0.82	0.00	0.00	1.00
ENSMUSG00000108053	0.00	0.00	0.00	0.10	0.00	0.00	0.00	0.31	0.00	0.00	0.00	0.00
ENSMUSG00000010755	11.30	16.77	37.74	17.25	14.52	22.89	4.90	31.80	72.78	39.11	1.10	31.42
ENSMUSG00000106094	0.00	0.00	0.00	0.00	0.18	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSMUSG00000081376	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSMUSG00000038563	5.97	14.93	10.74	16.32	8.76	0.16	6.46	28.68	13.41	9.77	6.10	18.91
ENSMUSG00000104192	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSMUSG00000048755	2.78	2.63	6.40	4.13	3.65	0.21	0.00	1.52	4.58	0.68	0.00	2.36
ENSMUSG00000092534	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSMUSG00000093342	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSMUSG00000089817	0.00	0.00	0.00	0.00	0.90	0.00	4.72	0.00	0.00	0.00	0.00	0.26
ENSMUSG00000080506	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSMUSG00000098473	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSMUSG00000102377	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSMUSG00000049577	0.37	0.17	0.54	0.04	0.06	0.00	0.00	0.46	0.00	0.00	0.09	0.00
ENSMUSG00000034660	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSMUSG00000099152	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSMUSG00000058216	0.00	0.00	16.21	0.00	2.79	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSMUSG00000056708	2.05	0.17	3.23	0.98	3.16	5.89	0.00	0.00	0.00	0.00	0.00	0.00
ENSMUSG00000103694	0.13	0.04	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSMUSG00000096927	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSMUSG00000046719	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSMUSG00000005107	1.41	0.52	0.00	0.04	0.20	0.00	2.50	0.35	0.39	0.42	5.15	1.61
ENSMUSG00000042608	2.00	2.51	2.73	3.22	1.53	0.00	2.07	13.60	32.20	7.52	7.52	10.24
ENSMUSG00000083806	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSMUSG00000072663	0.60	0.22	0.00	0.00	0.42	0.00	0.85	0.34	0.27	0.20	0.00	0.36
ENSMUSG00000099313	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSMUSG00000028758	4.39	10.23	0.00	18.05	13.07	2.78	51.18	23.85	33.80	28.85	44.24	16.51
ENSMUSG00000107828	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSMUSG00000028134	46.51	37.04	18.02	69.58	46.97	37.59	42.61	34.03	53.29	54.18	77.34	53.89
ENSMUSG00000031993	0.85	0.20	0.94	0.54	0.10	0.65	0.00	0.27	1.24	0.64	0.00	0.19
ENSMUSG00000047044	36.97	12.36	31.70	6.99	4.57	4.05	0.15	2.83	0.00	1.22	0.00	1.92
ENSMUSG00000029175	6.24	16.33	41.79	32.35	17.02	2.72	3.64	18.10	5.69	13.45	0.00	16.64
ENSMUSG00000039146	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSMUSG00000024036	0.48	0.32	5.56	1.25	0.34	4.62	1.12	3.08	0.64	0.84	0.00	3.73
ENSMUSG00000104487	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSMUSG00000085170	0.00	0.00	0.00	0.00	0.00	0.91	0.00	0.00	0.00	0.00	0.00	0.00
ENSMUSG00000099849	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSMUSG00000095087	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSMUSG00000021347	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSMUSG00000006221	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSMUSG00000097906	2.90	10.48	0.00	10.95	11.35	0.00	5.50	11.59	16.33	9.69	9.43	40.28
ENSMUSG00000084150	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSMUSG00000033356	0.06	2.07	3.23	2.11	4.51	1.30	4.34	2.35	1.59	3.68	6.70	5.98
ENSMUSG00000067519	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSMUSG00000018796	7.96	3.03	1.71	5.01	3.88	0.00	1.85	9.24	12.35	9.23	9.21	4.53
ENSMUSG00000084307	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSMUSG00000056687	0.00	0.00	0.51	0.00	0.00	0.00	0.00	0.00	0.00	0.33	0.00	0.00
ENSMUSG00000095996	0.00	0.00	0.00	0.80	0.00	0.00	0.00	0.60	0.00	0.00	0.00	0.95
ENSMUSG00000098593	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSMUSG00000096554	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSMUSG00000035877	3.06	1.80	3.17	0.00	1.20	1.00	17.29	8.72	15.15	8.48	19.68	9.13
ENSMUSG00000078183	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSMUSG00000031029	44.99	29.58	100.62	8.48	22.48	43.86	2.57	0.14	1.21	1.61	0.00	2.70
ENSMUSG00000087715	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSMUSG00000107765	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSMUSG00000094690	15.35	0.00	13.03	1.73	6.97	13.86	0.00	0.00	0.00	0.00	0.00	0.00
ENSMUSG00000096737	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSMUSG00000099331	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSMUSG00000058240	20.68	32.13	78.58	9.75	32.07	57.20	4.18	5.34	10.08	3.75	0.00	7.60
ENSMUSG00000044515	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSMUSG00000020474	2.74	8.42	0.68	10.70	5.78	3.63	15.06	45.86	27.48	25.98	50.78	34.06
ENSMUSG00000059654	8.89	15.96	0.00	36.40	18.46	0.00	3.43	6.89	1.96	4.34	0.00	1.19
ENSMUSG00000095803	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSMUSG00000108127	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.47	0.00
ENSMUSG00000074862	0.00	1.68	0.00	0.00	0.00	0.00	6.10	0.07	1.36	0.11	0.00	0.00
ENSMUSG00000067351	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSMUSG00000079197	148.56	161.00	221.53	65.76	124.55	290.31	0.00	3.89	4.04	1.64	0.00	3.90
ENSMUSG00000063488	0.00	0.00	0.00	0.00	1.16	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSMUSG00000066150	21.58	24.51	25.36	21.28	19.34	47.15	7.75	8.63	6.54	10.18	12.28	15.15
ENSMUSG00000097441	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSMUSG00000099587	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSMUSG00000088231	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSMUSG00000108244	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSMUSG00000083029	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSMUSG00000108528	0.00	0.00	0.45	0.35	0.00	0.70	0.00	0.08	0.00	0.00	0.00	0.58
ENSMUSG00000084875	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSMUSG00000036281	4.02	3.04	0.00	0.00	0.57	0.00	1.54	1.09	1.79	0.80	0.00	0.35
ENSMUSG00000035305	0.45	0.50	0.00	0.41	0.26	1.65	0.00	0.03	0.19	0.00	0.00	0.11
ENSMUSG00000102100	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSMUSG00000107102	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSMUSG00000079598	0.00	2.35	0.00	0.00	1.49	0.00	0.00	1.32	0.58	0.00	6.86	3.12
ENSMUSG00000048483	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSMUSG00000081321	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSMUSG00000108385	0.00	0.37	0.00	0.51	0.00	0.00	6.60	0.33	1.44	0.61	4.13	7.02
ENSMUSG00000099188	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSMUSG00000091109	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSMUSG00000102357	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSMUSG00000027628	3.08	5.23	19.12	0.16	1.55	6.71	0.00	0.00	0.00	0.00	0.00	0.00
ENSMUSG00000099172	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSMUSG00000037395	14.20	8.94	13.83	3.35	13.68	5.81	8.18	4.90	9.96	4.16	2.10	6.03
ENSMUSG00000030330	284.60	68.97	62.46	90.06	36.60	149.34	13.77	3.04	6.20	8.50	1.06	9.80
ENSMUSG00000105192	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSMUSG00000088213	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSMUSG00000083993	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.23	0.00	0.00	0.00
ENSMUSG00000108263	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSMUSG00000065629	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSMUSG00000092777	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSMUSG00000001089	76.18	38.36	21.27	24.37	19.15	31.19	269.30	84.18	102.12	129.85	377.13	128.39
ENSMUSG00000051373	0.83	6.30	21.92	5.89	4.45	10.10	2.09	0.00	3.43	0.00	0.00	1.03
ENSMUSG00000075700	24.32	18.42	22.64	23.09	26.29	18.51	3.75	41.86	29.17	31.83	10.41	34.47
ENSMUSG00000098453	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSMUSG00000096861	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSMUSG00000088405	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSMUSG00000097893	0.64	0.45	0.18	3.88	0.12	0.47	2.97	0.64	0.00	0.00	0.00	0.83
ENSMUSG00000108073	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSMUSG00000068819	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSMUSG00000049734	0.00	7.21	13.23	7.28	1.96	26.61	0.00	0.74	0.94	0.00	0.00	0.00
ENSMUSG00000048775	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSMUSG00000071561	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSMUSG00000050503	5.89	6.87	1.86	1.29	2.17	5.35	0.00	0.00	0.10	0.09	0.00	0.28
ENSMUSG00000007458	30.05	45.60	126.25	16.89	42.50	98.18	4.77	1.93	2.44	4.09	1.24	4.35
ENSMUSG00000103742	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSMUSG00000032034	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSMUSG00000078141	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSMUSG00000106871	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSMUSG00000085328	2.48	0.35	1.84	0.72	1.50	1.64	0.08	0.04	0.19	0.00	0.09	0.03
ENSMUSG00000101716	0.00	1.09	0.00	0.19	0.28	0.00	4.51	0.98	2.14	0.00	3.06	1.29
ENSMUSG00000081766	0.00	1.54	0.00	3.02	0.00	0.00	0.00	0.00	0.00	5.52	0.00	0.00
ENSMUSG00000022613	153.10	825.64	0.00	389.32	718.59	6.50	67.88	88.73	40.37	153.85	8.61	163.21
ENSMUSG00000056412	64.52	159.60	88.07	59.68	2.53	7.79	0.00	12.48	0.00	31.16	14.70	14.92
ENSMUSG00000029580	1850.01	715.09	1576.03	206.74	522.65	1228.51	26.95	41.39	101.20	46.54	31.31	59.50
ENSMUSG00000103609	0.08	0.00	0.00	0.00	0.09	0.42	0.00	0.00	0.00	0.00	0.14	0.00
ENSMUSG00000085585	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSMUSG00000046561	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSMUSG00000027788	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSMUSG00000023051	11.66	12.05	22.92	5.07	20.04	41.00	27.18	4.18	5.51	7.18	1.81	3.93
ENSMUSG00000104897	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSMUSG00000065514	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSMUSG00000063252	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSMUSG00000075223	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSMUSG00000082717	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSMUSG00000021359	0.00	0.00	0.00	0.00	0.00	0.00	0.38	0.36	0.79	0.00	0.64	0.47
ENSMUSG00000098273	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSMUSG00000065789	0.00	0.00	0.00	0.00	0.00	0.92	0.00	0.00	0.00	0.00	0.00	0.00
ENSMUSG00000104612	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSMUSG00000045503	38.86	95.36	61.39	88.43	67.29	36.21	5.95	21.10	17.13	27.59	1.03	33.83
ENSMUSG00000094815	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSMUSG00000101953	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSMUSG00000022770	219.76	52.00	38.17	43.53	25.13	59.59	13.75	7.36	7.55	5.33	13.07	7.78
ENSMUSG00000068537	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSMUSG00000002280	0.42	10.11	22.54	0.75	16.98	23.10	0.00	0.34	0.91	2.01	0.00	1.61
ENSMUSG00000098044	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSMUSG00000002603	0.33	0.18	1.91	0.00	0.00	0.23	0.00	0.00	0.00	0.00	0.00	0.00
ENSMUSG00000023026	1.32	1.14	1.38	1.31	1.37	0.14	4.45	9.58	13.11	11.07	4.12	7.40
ENSMUSG00000019689	276.72	291.45	109.40	297.37	272.29	43.19	30.89	127.02	154.11	187.41	14.14	191.30
ENSMUSG00000075167	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSMUSG00000094146	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSMUSG00000077153	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSMUSG00000103396	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSMUSG00000032397	241.90	244.51	54.42	240.66	259.76	81.10	512.88	246.07	91.69	268.06	320.26	332.49
ENSMUSG00000082422	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSMUSG00000045467	8.84	4.96	0.00	4.77	2.77	2.92	9.93	7.11	5.19	17.75	10.19	4.96
ENSMUSG00000069014	0.00	21.29	22.03	10.68	12.23	1.86	0.00	1.23	0.00	16.59	0.00	3.06
ENSMUSG00000081654	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSMUSG00000097775	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSMUSG00000107355	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSMUSG00000024812	6.53	2.47	6.45	1.78	0.90	0.67	2.59	7.11	20.59	8.07	2.13	6.75
ENSMUSG00000035152	9.22	7.28	7.62	1.69	6.38	9.34	6.50	13.62	6.40	7.76	7.81	3.41
ENSMUSG00000057706	2.38	0.27	0.25	1.38	1.18	0.69	0.00	2.47	0.87	1.07	1.16	0.45
ENSMUSG00000036264	0.24	1.76	0.00	1.05	3.13	0.70	0.00	5.21	14.23	4.21	2.24	8.53
ENSMUSG00000046854	0.00	0.00	0.00	0.00	0.00	0.00	0.00	2.34	0.00	0.00	0.00	0.00
ENSMUSG00000089085	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSMUSG00000073399	0.00	2.04	0.00	7.94	3.52	0.00	8.76	2.48	3.60	3.39	5.84	1.71
