	OM1	OM2	OM3	OM4	OM5	OM6	YM1	YM2	YM4	YM5	YM6	YM7
ENSMUSG00000095486	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSMUSG00000031775	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSMUSG00000022551	23.06	179.53	229.67	44.32	86.83	171.22	0.00	1.48	0.00	3.59	0.00	2.38
ENSMUSG00000102643	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSMUSG00000045421	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSMUSG00000034949	0.00	0.00	1.15	0.00	1.11	0.07	1.94	0.05	0.55	0.89	0.00	0.00
ENSMUSG00000050066	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSMUSG00000068165	0.00	0.00	0.00	3.08	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSMUSG00000101541	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSMUSG00000040034	34.82	91.91	26.83	72.99	69.53	19.74	13.08	44.23	17.75	32.93	0.00	54.94
ENSMUSG00000102756	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSMUSG00000024912	3.03	0.12	4.66	0.00	3.75	0.00	1.80	0.00	0.00	0.00	0.00	1.40
ENSMUSG00000081534	1.32	2.88	11.53	5.74	7.50	6.41	2.64	4.50	3.75	2.21	2.69	2.67
ENSMUSG00000052305	0.00	0.00	0.00	0.00	0.00	0.00	0.47	0.00	0.00	0.00	0.00	2.05
ENSMUSG00000026820	8.17	10.04	7.71	7.47	12.17	0.15	9.97	4.50	4.00	3.34	5.27	4.74
ENSMUSG00000020718	8.45	1.53	5.16	3.71	2.02	4.96	0.04	0.00	0.00	0.00	0.00	0.18
ENSMUSG00000004561	19.81	45.01	62.05	34.67	42.31	5.59	35.93	79.46	57.49	32.88	1.83	32.97
ENSMUSG00000088348	76.42	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSMUSG00000075121	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSMUSG00000092376	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSMUSG00000098171	0.00	0.00	0.00	4.20	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSMUSG00000102931	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSMUSG00000022843	1.75	2.75	3.11	1.92	3.63	0.00	0.70	1.41	1.07	2.72	0.00	2.61
ENSMUSG00000083775	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSMUSG00000068218	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSMUSG00000093420	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSMUSG00000063998	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSMUSG00000099866	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSMUSG00000081757	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSMUSG00000103303	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSMUSG00000104424	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSMUSG00000035448	0.00	1.55	0.00	1.48	0.99	5.24	4.31	0.82	0.00	0.37	0.37	1.01
ENSMUSG00000102721	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSMUSG00000077251	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
